단어,빈도수
개역,3
중소,171
인대,34
인젠,6
길동,79
유아,115
여중생,2
여고생,20
쭈그렁방탱,1
홍시,12
차우,14
라이브,681
머리,907
박아,49
소화,72
맥주,565
공장,1420
남쪽,21
철도,113
관사,124
지도,213
신길역,1
일대,57
부군당,1
잉어,15
전설,114
생각,4248
답사,12
자리,593
여유,126
사냥터,8
나름,229
매번,101
타이밍,121
경뿌,1
요지,7
오프,377
건오,38
손목,54
피멍,3
장난,297
랍시고,21
어쩐지,74
비극,39
참극,2
쌍디,8
수금,5
저녁,404
시간대,39
연수,75
구청,39
쌍화탕,3
탈영병,1
부녀,4
우측,36
글씨,60
도영,290
생생정보통,2
물짜장,3
짜장,32
탕수육,30
비법,88
밥상,33
전라북도,52
남원시,18
금동,16
목요일,194
법법,2
이용,698
매일,571
첫째,40
월요일,285
휴무,25
짜장면,16
우동,46
간짜장,1
짬뽕,49
울면,56
오락가락,19
구름다리,1
의류,154
조물,16
대학,841
즈음,37
도심,75
목격,33
영등포,55
영업,1956
촬영,316
시점,256
주인,400
할머니,69
과연,186
계실런,1
자일,28
중돜찐,1
천문,1
청문,7
미아,47
제천대성,3
맛집,313
위주,164
로만,133
김영진,129
연구소,1539
경영,693
분쟁,118
취득,399
사업,4164
사일,12
종합,1088
동구,68
훉백,2
고속도로,56
안무,61
망원,9
그것,442
시인,38
배경,212
관심,1414
장하나,218
안산,264
폰섹,66
대학생,154
섹파,336
후기,760
변액,5
종신,18
송윤중,1
서현,71
솔로,286
이온,352
해양,252
레저,112
밀양,64
엘프,25
숙녀,6
모임,297
처녀,8
미팅,230
성남,157
거상,8
꿀딜,3
상인,37
골드,428
공진,8
제니,229
방지법,11
아이,6136
강길홍,3
섬유,184
물류,288
사인,603
쑥스터,334
코트,119
싸이,199
토젠,51
그린,716
남광,60
토건,399
액토즈소프트,16
등락,175
순위,371
동사,185
의향,54
남발,12
정규,146
급락,296
흑자,277
전술,29
고무줄,6
구급대원,4
매너리즘,2
다만,156
소방,150
비주류,9
대부분,297
병원,718
응급의료,3
이해도,12
애초,147
상당수,13
급구,7
간호사,36
고요,162
힘법,1
찡긋,17
신세계,943
역시,971
접근성,11
용문역,3
대화방,41
접수,473
말체,1
도봉,25
편입학,7
월영,6
드럼,31
학원,303
황병덕,1
분양,333
인덱스,13
북가좌동,2
교제,21
커뮤니티,671
서엽,2
사원,640
메리츠화재,111
메리,155
문의,579
언박싱,9
물건,174
라라,81
마마,116
미스터리,34
상자,551
아이템,161
처음,1069
출연,276
육아,194
필수품,12
보험,732
하단,40
클릭,256
일터,13
건가,544
출퇴근길,4
라디오,121
버스정류장,24
안내,504
방송,1809
덕지덕지,8
보험사,54
부문,795
임원,245
광고대행사,18
가운데,497
이상은,54
소시오패스,2
굿걸,5
견적,62
워킹맘,10
저리,79
포스트,1078
질병,100
상해,48
비용,280
코스,1482
덕천,3
코드,482
정식,148
입사,120
하트,327
요동,6
트레이너,22
메세지,41
유튜브,557
생애,60
김밥,129
만들기,420
가정,390
맞이,167
멜튜버,16
퀴즈,340
재개,232
난이도,51
척척,31
완성,280
고고,117
진단,1149
김행,2
리츠,743
상중,4
버블티,13
맞팔,585
배당,485
성향,94
대폭,68
축소,90
폭탄,111
선언,210
시선,164
보고서,518
용기,163
칭찬,138
화사,18
정말,1560
