단어,빈도수,라벨링
분야,589,0
발생,588,0
더보이즈,588,0
동아,585,0
맞팔,585,0
장기,584,0
논란,584,-3
대한항공,584,0
주의,583,-1
엠에스,583,0
전국,582,0
경남,581,0
언급,580,0
바람,579,0
혼자,579,0
문의,579,0
노조,578,-1
고민,577,-1
주년,577,0
리포트,577,0
드라마,576,0
블랙,575,0
감사,575,0
강원,574,0
작년,573,0
섹터,572,0
매일,571,0
체험,571,0
먼저,570,0
제노,570,0
디스,568,0
가입,568,0
프로그램,568,0
과학,567,0
의자,566,0
맥주,565,0
시즌,564,0
아파트,564,0
머니투데이,563,0
인터넷,563,0
엄마,563,0
실시간,562,0
유지,561,0
자금,560,0
트윗,560,0
큐브,559,0
이재명,559,0
제발,559,-1
보이,559,0
유튜브,557,0
정치,556,-1
재료,556,
알티,556,0
미코,555,0
얼마,554,0
협회,553,0
확보,553,1
라인,553,0
여러분,551,0
상자,551,0
운동,550,0
원래,548,0
심사,548,0
스틸,546,0
디아,545,0
건가,544,0
비교,542,0
성인,541,0
투자자,541,0
삼화,541,0
호텔,539,0
확정,539,2
가치,538,0
이낙연,537,0
인생,537,0
가족,537,0
노동자,536,0
케이프,536,0
캐스트,535,0
돌파,535,0
프레,535,0
노바,533,0
수준,530,0
남성,528,0
눈물,528,-2
결제,528,0
아래,528,0
핵심,527,0
흥국,526,0
보건,525,0
해도,525,0
참사,525,0
하림,523,0
매일경제,518,0
취향,518,1
보고서,518,0
생일,518,0
캐릭터,517,0
대전,516,0
인물,514,0
그때,513,0
모주,513,0
창업,511,1
기획,510,1
사거리,510,0
시사,509,0
최애,508,0
언니,507,0
모비스,505,0
안내,504,0
멀티,503,0
세력,502,-2
리더,500,0
능력,500,0
특허,499,0
대감,499,0
센스,499,0
스포,499,0
가운데,497,0
갤럭시,497,0
대미,496,0
이데일리,496,0
이하,495,-2
메가스터디,494,0
세븐,493,0
전용,492,0
약간,491,-1
직스,489,0
넷마블,488,0
엠씨,488,0
바다,488,0
더블,487,1
크로스,486,0
웹툰,486,0
배당,485,0
기본,485,0
법인,485,0
유통,485,0
동국제강,485,0
회원,485,0
엠디,484,0
의원,483,0
예측,482,0
이전,482,0
코드,482,0
비즈니스,481,0
유럽,481,0
엔시,481,0
하늘,480,0
강화,480,0
인베스트먼트,480,0
젬백스,480,0
데이터,480,0
항상,479,0
교수,478,0
위드,478,0
세종,478,0
오피,478,0
믹스,477,0
경우,477,0
아들,476,0
에버,476,0
디오,475,0
달라,474,0
크림,474,0
새끼,474,-2
접수,473,0
목소리,472,0
집중,472,0
미니,472,0
자유,471,0
골든,470,0
수도,468,0
스포츠,468,0
쿠팡,468,0
내년,467,0
대체,467,0
언론,466,0
대응,466,-1
동안,465,0
모터,465,0
제대로,465,0
레드,465,0
체인,464,0
우수,463,2
혁신,463,2
프로젝트,463,0
배우,463,0
지노,462,0
스킨,462,0
하자,462,-1
선생님,461,0
비상,460,0
가습기,460,0
자주,460,0
당첨,459,0
컬러,459,0
시발,458,-3
자료,457,0
자비스,456,0
전체,456,0
써니,455,0
공포,455,-1
시설,454,0
커미션,453,-1
별로,453,-2
에어,452,0
우진,452,0
평택,452,0
일부,452,0
포장,451,0
주소,451,0
일상,451,0
기회,449,2
시리즈,449,0
보안,448,0
진에어,447,0
의미,446,0
