기업명,감성지수
현대차,94
원바이오젠,93
메디포스트,93
알에스오토메이션,93
디이엔티,93
스포라이브,93
래몽래인,92
골프존,92
TS트릴리온,92
팬스타엔터프라이즈,92
인트로메딕,91
해성디에스,91
메가엠디,91
이글루시큐리티,91
인텔리안테크,91
엔케이맥스,91
시티랩스,91
디스플레이텍,90
미디어젠,90
와토스코리아,89
자이에스앤디,88
컴퍼니케이,88
일신바이오,88
유니텍,88
삼화전기,88
인바이오젠,88
경동제약,87
유엔젤,87
콤텍시스템,86
아스트,85
카프로,85
디아이,85
화신정공,85
한국비엔씨,85
삼일기업공사,84
금양,84
오텍,83
CJ대한통운,83
롯데리츠,82
방림,82
아리바이오,81
이오플로우,80
한샘,80
더존비즈온,80
에브리봇,79
티움바이오,79
포인트모바일,79
오리엔탈정공,79
일지테크,79
팬젠,78
삼익THK,78
지누스,78
앤씨앤,78
한화,78
쇼박스,78
퀀타매트릭스,77
에스씨엠생명과학,76
메이슨캐피탈,76
아이티엠반도체,76
하이트진로,75
영림원소프트랩,75
SG신성건설,75
엔시스,74
라온피플,74
토니모리,74
비에이치아이,74
한화에어로스페이스,73
SK텔레콤,73
에스에이티,73
푸드나무,73
우양에이치씨,73
시그네틱스,73
비츠로셀,72
프리젠,72
아이스크림에듀,72
부스타,72
한국종합기술,72
보락,72
로드,72
디피코,71
제이에스코퍼레이션,70
머큐리,70
브랜드엑스코퍼레이션,69
흥국에프엔비,69
민앤지,69
라파스,69
세경하이테크,69
잉글우드랩,69
메리츠화재,69
엘티씨,69
노바렉스,68
대한과학,68
RFHIC,68
유니슨,68
케이엠제약,68
우리바이오,68
에스피지,68
디케이티,68
기아,68
샘표,68
에치에프알,67
씨에스베어링,66
HDC현대산업개발,66
제이알글로벌리츠,66
삼성증권,66
알루코,66
큐로,66
SK아이이테크놀로지,66
엠에스씨,65
이녹스첨단소재,65
SNT모티브,65
브이티지엠피,65
대한항공,64
태웅로직스,64
STX엔진,64
이수앱지스,64
이스트아시아홀딩스,64
오파스넷,64
세틀뱅크,63
CJ제일제당,63
클리오,63
유니퀘스트,62
한섬,62
유비온,62
한솔인티큐브,62
라이프시맨틱스,61
HSD엔진,61
두올,61
휴메딕스,61
고바이오랩,60
엠게임,60
오상헬스케어,60
헝셩그룹,60
엔에프씨,60
지놈앤컴퍼니,60
한세예스24홀딩스,59
차바이오텍,58
한국철강,58
풀무원,58
파워 ,58
신성델타테크,58
신성이엔지,57
오션브릿지,57
보라티알,57
다원시스,57
대유플러스,56
이더블유케이,56
국보디자인,56
피플바이오,55
솔루엠,55
강남제비스코,55
블루탑,54
신라섬유,54
신풍제지,54
파워풀엑스,54
에이플러스에셋,54
선데이토즈,54
디지캡,54
신영,53
현대홈쇼핑,53
올릭스,53
서플러스글로벌,53
SK머티리얼즈,53
하이,53
인켈,52
피앤씨테크,52
씨엔티드림,52
딜리,52
비나텍,52
인성정보,52
휴온스,52
제넥신,51
우성사료,51
천랩,51
