,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A017480,ป๏ว๖รถฐญ,20210812,7470
1,A017480,ป๏ว๖รถฐญ,20210811,7490
2,A017480,ป๏ว๖รถฐญ,20210810,7470
3,A017480,ป๏ว๖รถฐญ,20210809,7620
4,A017480,ป๏ว๖รถฐญ,20210806,7470
5,A017480,ป๏ว๖รถฐญ,20210805,7580
6,A017480,ป๏ว๖รถฐญ,20210804,7390
7,A017480,ป๏ว๖รถฐญ,20210803,7300
8,A017480,ป๏ว๖รถฐญ,20210802,7500
9,A017480,ป๏ว๖รถฐญ,20210730,7950
10,A017480,ป๏ว๖รถฐญ,20210729,8050
11,A017480,ป๏ว๖รถฐญ,20210728,7620
12,A017480,ป๏ว๖รถฐญ,20210727,7690
13,A017480,ป๏ว๖รถฐญ,20210726,7410
14,A017480,ป๏ว๖รถฐญ,20210723,7370
15,A017480,ป๏ว๖รถฐญ,20210722,7200
16,A017480,ป๏ว๖รถฐญ,20210721,7100
17,A017480,ป๏ว๖รถฐญ,20210720,7120
18,A017480,ป๏ว๖รถฐญ,20210719,7320
19,A017480,ป๏ว๖รถฐญ,20210716,7520
20,A017480,ป๏ว๖รถฐญ,20210715,7570
21,A017480,ป๏ว๖รถฐญ,20210714,7470
22,A017480,ป๏ว๖รถฐญ,20210713,7540
23,A017480,ป๏ว๖รถฐญ,20210712,7500
24,A017480,ป๏ว๖รถฐญ,20210709,7200
25,A017480,ป๏ว๖รถฐญ,20210708,7380
26,A017480,ป๏ว๖รถฐญ,20210707,7480
27,A017480,ป๏ว๖รถฐญ,20210706,7610
28,A017480,ป๏ว๖รถฐญ,20210705,7520
29,A017480,ป๏ว๖รถฐญ,20210702,7680
30,A017480,ป๏ว๖รถฐญ,20210701,7630
31,A017480,ป๏ว๖รถฐญ,20210630,7700
32,A017480,ป๏ว๖รถฐญ,20210629,7880
33,A017480,ป๏ว๖รถฐญ,20210628,8280
34,A017480,ป๏ว๖รถฐญ,20210625,7820
35,A017480,ป๏ว๖รถฐญ,20210624,7820
36,A017480,ป๏ว๖รถฐญ,20210623,7630
37,A017480,ป๏ว๖รถฐญ,20210622,7680
38,A017480,ป๏ว๖รถฐญ,20210621,7500
39,A017480,ป๏ว๖รถฐญ,20210618,7620
40,A017480,ป๏ว๖รถฐญ,20210617,7730
41,A017480,ป๏ว๖รถฐญ,20210616,7810
42,A017480,ป๏ว๖รถฐญ,20210615,7710
43,A017480,ป๏ว๖รถฐญ,20210614,7790
44,A017480,ป๏ว๖รถฐญ,20210611,7570
45,A017480,ป๏ว๖รถฐญ,20210610,7280
46,A017480,ป๏ว๖รถฐญ,20210609,7350
47,A017480,ป๏ว๖รถฐญ,20210608,7330
48,A017480,ป๏ว๖รถฐญ,20210607,7550
49,A017480,ป๏ว๖รถฐญ,20210604,7660
50,A017480,ป๏ว๖รถฐญ,20210603,7670
51,A017480,ป๏ว๖รถฐญ,20210602,7810
52,A017480,ป๏ว๖รถฐญ,20210601,7610
53,A017480,ป๏ว๖รถฐญ,20210531,7880
54,A017480,ป๏ว๖รถฐญ,20210528,7800
55,A017480,ป๏ว๖รถฐญ,20210527,7310
56,A017480,ป๏ว๖รถฐญ,20210526,7230
57,A017480,ป๏ว๖รถฐญ,20210525,7510
58,A017480,ป๏ว๖รถฐญ,20210524,7600
59,A017480,ป๏ว๖รถฐญ,20210521,7960
60,A017480,ป๏ว๖รถฐญ,20210520,8160
61,A017480,ป๏ว๖รถฐญ,20210518,8140
62,A017480,ป๏ว๖รถฐญ,20210517,7970
63,A017480,ป๏ว๖รถฐญ,20210514,7750
64,A017480,ป๏ว๖รถฐญ,20210513,8000
65,A017480,ป๏ว๖รถฐญ,20210512,8380
66,A017480,ป๏ว๖รถฐญ,20210511,8770
67,A017480,ป๏ว๖รถฐญ,20210510,8610
68,A017480,ป๏ว๖รถฐญ,20210507,8040
69,A017480,ป๏ว๖รถฐญ,20210506,8340
70,A017480,ป๏ว๖รถฐญ,20210504,8140
71,A017480,ป๏ว๖รถฐญ,20210503,7760
72,A017480,ป๏ว๖รถฐญ,20210430,8360
73,A017480,ป๏ว๖รถฐญ,20210429,8360
74,A017480,ป๏ว๖รถฐญ,20210428,7330
75,A017480,ป๏ว๖รถฐญ,20210427,7800
76,A017480,ป๏ว๖รถฐญ,20210426,6000
77,A017480,ป๏ว๖รถฐญ,20210423,5750
78,A017480,ป๏ว๖รถฐญ,20210422,5720
79,A017480,ป๏ว๖รถฐญ,20210421,5470
80,A017480,ป๏ว๖รถฐญ,20210420,5570
81,A017480,ป๏ว๖รถฐญ,20210419,5520
82,A017480,ป๏ว๖รถฐญ,20210416,5450
83,A017480,ป๏ว๖รถฐญ,20210415,5420
84,A017480,ป๏ว๖รถฐญ,20210414,5530
85,A017480,ป๏ว๖รถฐญ,20210413,5500
86,A017480,ป๏ว๖รถฐญ,20210412,5560
87,A017480,ป๏ว๖รถฐญ,20210409,5650
88,A017480,ป๏ว๖รถฐญ,20210408,5680
89,A017480,ป๏ว๖รถฐญ,20210407,5310
90,A017480,ป๏ว๖รถฐญ,20210406,5180
91,A017480,ป๏ว๖รถฐญ,20210405,5270
92,A017480,ป๏ว๖รถฐญ,20210402,5100
93,A017480,ป๏ว๖รถฐญ,20210401,5080
94,A017480,ป๏ว๖รถฐญ,20210331,5170
95,A017480,ป๏ว๖รถฐญ,20210330,5020
96,A017480,ป๏ว๖รถฐญ,20210329,4995
97,A017480,ป๏ว๖รถฐญ,20210326,4915
98,A017480,ป๏ว๖รถฐญ,20210325,4930
99,A017480,ป๏ว๖รถฐญ,20210324,4905
100,A017480,ป๏ว๖รถฐญ,20210323,4910
101,A017480,ป๏ว๖รถฐญ,20210322,5050
102,A017480,ป๏ว๖รถฐญ,20210319,5020
103,A017480,ป๏ว๖รถฐญ,20210318,4980
104,A017480,ป๏ว๖รถฐญ,20210317,4845
105,A017480,ป๏ว๖รถฐญ,20210316,4930
106,A017480,ป๏ว๖รถฐญ,20210315,4710
107,A017480,ป๏ว๖รถฐญ,20210312,4695
108,A017480,ป๏ว๖รถฐญ,20210311,4635
109,A017480,ป๏ว๖รถฐญ,20210310,4570
110,A017480,ป๏ว๖รถฐญ,20210309,4625
111,A017480,ป๏ว๖รถฐญ,20210308,4730
112,A017480,ป๏ว๖รถฐญ,20210305,4585
113,A017480,ป๏ว๖รถฐญ,20210304,4780
114,A017480,ป๏ว๖รถฐญ,20210303,4700
115,A017480,ป๏ว๖รถฐญ,20210302,4650
116,A017480,ป๏ว๖รถฐญ,20210226,4640
117,A017480,ป๏ว๖รถฐญ,20210225,4880
118,A017480,ป๏ว๖รถฐญ,20210224,4880
119,A017480,ป๏ว๖รถฐญ,20210223,4460
120,A017480,ป๏ว๖รถฐญ,20210222,4590
121,A017480,ป๏ว๖รถฐญ,20210219,4410
122,A017480,ป๏ว๖รถฐญ,20210218,4350
123,A017480,ป๏ว๖รถฐญ,20210217,4395
124,A017480,ป๏ว๖รถฐญ,20210216,4300
125,A017480,ป๏ว๖รถฐญ,20210215,4230
