,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,Á¾°¡
0,A303530,ÀÌ³כµ×,20210812,29300
1,A303530,ÀÌ³כµ×,20210811,29500
2,A303530,ÀÌ³כµ×,20210810,29100
3,A303530,ÀÌ³כµ×,20210809,29100
4,A303530,ÀÌ³כµ×,20210806,28650
5,A303530,ÀÌ³כµ×,20210805,28100
6,A303530,ÀÌ³כµ×,20210804,27050
7,A303530,ÀÌ³כµ×,20210803,26600
8,A303530,ÀÌ³כµ×,20210802,25550
9,A303530,ÀÌ³כµ×,20210730,24800
10,A303530,ÀÌ³כµ×,20210729,25950
11,A303530,ÀÌ³כµ×,20210728,24500
12,A303530,ÀÌ³כµ×,20210727,25500
13,A303530,ÀÌ³כµ×,20210726,29000
14,A303530,ÀÌ³כµ×,20210723,28500
15,A303530,ÀÌ³כµ×,20210722,24900
16,A303530,ÀÌ³כµ×,20210721,21750
17,A303530,ÀÌ³כµ×,20210720,16750
18,A303530,ÀÌ³כµ×,20210719,15800
19,A303530,ÀÌ³כµ×,20210716,16050
20,A303530,ÀÌ³כµ×,20210715,15750
21,A303530,ÀÌ³כµ×,20210714,15950
22,A303530,ÀÌ³כµ×,20210713,15500
23,A303530,ÀÌ³כµ×,20210712,15350
24,A303530,ÀÌ³כµ×,20210709,15350
25,A303530,ÀÌ³כµ×,20210708,15750
26,A303530,ÀÌ³כµ×,20210707,16000
27,A303530,ÀÌ³כµ×,20210706,16100
28,A303530,ÀÌ³כµ×,20210705,15950
29,A303530,ÀÌ³כµ×,20210702,16000
30,A303530,ÀÌ³כµ×,20210701,16300
31,A303530,ÀÌ³כµ×,20210630,16250
32,A303530,ÀÌ³כµ×,20210629,16450
33,A303530,ÀÌ³כµ×,20210628,16900
34,A303530,ÀÌ³כµ×,20210625,17050
35,A303530,ÀÌ³כµ×,20210624,16600
36,A303530,ÀÌ³כµ×,20210623,16850
37,A303530,ÀÌ³כµ×,20210622,16800
38,A303530,ÀÌ³כµ×,20210621,17100
39,A303530,ÀÌ³כµ×,20210618,18050
