,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
112,A028670,ÆÒ¿À¼Ç,20210305,6430
113,A028670,ÆÒ¿À¼Ç,20210304,5870
114,A028670,ÆÒ¿À¼Ç,20210303,5970
115,A028670,ÆÒ¿À¼Ç,20210302,5630
116,A028670,ÆÒ¿À¼Ç,20210226,5720
117,A028670,ÆÒ¿À¼Ç,20210225,5540
118,A028670,ÆÒ¿À¼Ç,20210224,5580
119,A028670,ÆÒ¿À¼Ç,20210223,5720
120,A028670,ÆÒ¿À¼Ç,20210222,5720
121,A028670,ÆÒ¿À¼Ç,20210219,5310
122,A028670,ÆÒ¿À¼Ç,20210218,5010
123,A028670,ÆÒ¿À¼Ç,20210217,5130
124,A028670,ÆÒ¿À¼Ç,20210216,5140
125,A028670,ÆÒ¿À¼Ç,20210215,4920
126,A028670,ÆÒ¿À¼Ç,20210210,4835
127,A028670,ÆÒ¿À¼Ç,20210209,4730
128,A028670,ÆÒ¿À¼Ç,20210208,4660
129,A028670,ÆÒ¿À¼Ç,20210205,4570
130,A028670,ÆÒ¿À¼Ç,20210204,4535
131,A028670,ÆÒ¿À¼Ç,20210203,4640
132,A028670,ÆÒ¿À¼Ç,20210202,4650
133,A028670,ÆÒ¿À¼Ç,20210201,4625
134,A028670,ÆÒ¿À¼Ç,20210129,4550
135,A028670,ÆÒ¿À¼Ç,20210128,4725
136,A028670,ÆÒ¿À¼Ç,20210127,4910
137,A028670,ÆÒ¿À¼Ç,20210126,4955
138,A028670,ÆÒ¿À¼Ç,20210125,5170
139,A028670,ÆÒ¿À¼Ç,20210122,5120
140,A028670,ÆÒ¿À¼Ç,20210121,5200
141,A028670,ÆÒ¿À¼Ç,20210120,4790
142,A028670,ÆÒ¿À¼Ç,20210119,4825
143,A028670,ÆÒ¿À¼Ç,20210118,4600
144,A028670,ÆÒ¿À¼Ç,20210115,4755
145,A028670,ÆÒ¿À¼Ç,20210114,4970
146,A028670,ÆÒ¿À¼Ç,20210113,4920
147,A028670,ÆÒ¿À¼Ç,20210112,4860
148,A028670,ÆÒ¿À¼Ç,20210111,4920
149,A028670,ÆÒ¿À¼Ç,20210108,4995
150,A028670,ÆÒ¿À¼Ç,20210107,5080
151,A028670,ÆÒ¿À¼Ç,20210106,5120
152,A028670,ÆÒ¿À¼Ç,20210105,5430
153,A028670,ÆÒ¿À¼Ç,20210104,5370
154,A028670,ÆÒ¿À¼Ç,20201230,5020
155,A028670,ÆÒ¿À¼Ç,20201229,4880
156,A028670,ÆÒ¿À¼Ç,20201228,4830
157,A028670,ÆÒ¿À¼Ç,20201224,4720
158,A028670,ÆÒ¿À¼Ç,20201223,4530
159,A028670,ÆÒ¿À¼Ç,20201222,4460
160,A028670,ÆÒ¿À¼Ç,20201221,4625
