,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A083660,CSA ฤฺฝบนอ,20210812,1560
1,A083660,CSA ฤฺฝบนอ,20210811,1565
2,A083660,CSA ฤฺฝบนอ,20210810,1520
3,A083660,CSA ฤฺฝบนอ,20210809,1600
4,A083660,CSA ฤฺฝบนอ,20210806,1620
5,A083660,CSA ฤฺฝบนอ,20210805,1660
6,A083660,CSA ฤฺฝบนอ,20210804,1655
7,A083660,CSA ฤฺฝบนอ,20210803,1695
8,A083660,CSA ฤฺฝบนอ,20210802,1540
9,A083660,CSA ฤฺฝบนอ,20210730,1540
10,A083660,CSA ฤฺฝบนอ,20210729,1565
11,A083660,CSA ฤฺฝบนอ,20210728,1550
12,A083660,CSA ฤฺฝบนอ,20210727,1575
13,A083660,CSA ฤฺฝบนอ,20210726,1610
14,A083660,CSA ฤฺฝบนอ,20210723,1635
15,A083660,CSA ฤฺฝบนอ,20210722,1620
16,A083660,CSA ฤฺฝบนอ,20210721,1665
17,A083660,CSA ฤฺฝบนอ,20210720,1660
18,A083660,CSA ฤฺฝบนอ,20210719,1700
19,A083660,CSA ฤฺฝบนอ,20210716,1730
20,A083660,CSA ฤฺฝบนอ,20210715,1730
21,A083660,CSA ฤฺฝบนอ,20210714,1730
22,A083660,CSA ฤฺฝบนอ,20210713,1660
23,A083660,CSA ฤฺฝบนอ,20210712,1675
24,A083660,CSA ฤฺฝบนอ,20210709,1695
25,A083660,CSA ฤฺฝบนอ,20210708,1750
26,A083660,CSA ฤฺฝบนอ,20210707,1780
27,A083660,CSA ฤฺฝบนอ,20210706,1800
28,A083660,CSA ฤฺฝบนอ,20210705,1800
29,A083660,CSA ฤฺฝบนอ,20210702,1815
30,A083660,CSA ฤฺฝบนอ,20210701,1835
31,A083660,CSA ฤฺฝบนอ,20210630,1850
32,A083660,CSA ฤฺฝบนอ,20210629,1850
33,A083660,CSA ฤฺฝบนอ,20210628,1860
34,A083660,CSA ฤฺฝบนอ,20210625,1905
35,A083660,CSA ฤฺฝบนอ,20210624,1905
36,A083660,CSA ฤฺฝบนอ,20210623,1905
37,A083660,CSA ฤฺฝบนอ,20210622,1920
38,A083660,CSA ฤฺฝบนอ,20210621,1940
