,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210812,11310
1,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210811,11350
2,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210810,11495
3,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210809,11495
4,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210806,11550
5,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210805,11615
6,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210804,11720
7,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210803,11680
8,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210802,11575
9,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210730,11705
10,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210729,11615
11,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210728,11650
12,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210727,11520
13,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210726,11460
14,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210723,11450
15,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210722,11470
16,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210721,11470
17,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210720,11480
18,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210719,11500
19,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210716,11615
20,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210715,11615
21,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210714,11765
22,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210713,11730
23,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210712,11755
24,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210709,11685
25,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210708,11815
26,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210707,11735
27,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210706,11795
28,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210705,11660
29,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210702,11800
30,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210701,11850
31,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210630,12035
32,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210629,12090
33,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210628,12180
34,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210625,12205
35,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210624,12085
36,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210623,11985
37,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210622,12045
38,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210621,11920
39,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210618,12035
40,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210617,12270
41,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210616,12390
42,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210615,12310
43,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210614,12220
44,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210611,12305
45,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210610,12245
46,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210609,12490
47,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210608,12445
48,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210607,12500
49,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210604,12440
50,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210603,12400
51,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210602,12455
52,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210601,12275
53,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210531,12250
54,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210528,12235
55,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210527,12165
56,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210526,12295
57,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210525,12260
58,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210524,12410
59,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210521,12160
60,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210520,12175
61,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210518,12225
62,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210517,12220
63,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210514,12325
64,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210513,12455
65,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210512,12445
66,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210511,12435
67,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210510,12405
68,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210507,12465
69,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210506,12560
70,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210504,12450
71,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210503,12465
72,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210430,12170
73,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210429,12200
74,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210428,12070
75,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210427,11855
76,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210426,11670
77,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210423,11580
78,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210422,11570
79,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210421,11625
80,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210420,11655
81,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210419,11515
82,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210416,11665
83,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210415,11800
84,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210414,11740
85,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210413,11680
86,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210412,11760
87,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210409,11880
88,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210408,12020
89,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210407,12155
90,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210406,12125
91,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210405,12065
92,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210402,11980
93,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210401,11810
94,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210331,11860
95,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210330,11800
96,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210329,11665
97,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210326,11645
98,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210325,11545
99,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210324,11440
100,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210323,11580
101,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210322,11690
102,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210319,11710
103,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210318,11840
104,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210317,11805
105,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210316,11875
106,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210315,12080
107,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210312,12080
108,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210311,12195
109,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210310,12190
110,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210309,12295
111,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210308,12270
112,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210305,12125
113,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210304,12155
114,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210303,12260
115,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210302,12205
116,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210226,12370
117,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210225,12330
118,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210224,12455
119,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210223,12325
120,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210222,12070
121,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210219,11930
122,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210218,11845
123,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210217,11905
124,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210216,11945
125,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210215,11690
126,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210210,11735
127,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210209,11710
128,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210208,11675
129,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210205,11660
130,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210204,11540
131,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210203,11625
132,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210202,11560
133,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210201,11385
134,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210129,11585
135,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210128,11510
136,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210127,11470
137,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210126,11405
138,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210125,11600
139,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210122,11700
140,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210121,11715
141,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210120,11550
142,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210119,11740
143,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210118,11620
144,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210115,11595
145,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210114,11700
146,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210113,11505
147,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210112,11435
148,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210111,11500
149,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210108,11455
150,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210107,11025
151,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210106,10805
152,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210105,10800
153,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20210104,10700
154,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201230,10370
155,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201229,10085
156,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201228,10340
157,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201224,10350
158,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201223,10260
159,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201222,10075
160,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201221,9930
161,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201218,10140
162,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201217,10145
163,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201216,10170
164,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201215,10240
165,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201214,10200
166,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201211,10310
167,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201210,10350
168,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201209,10520
169,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201208,10425
170,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201207,10160
171,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201204,10495
172,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201203,10505
173,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201202,10600
174,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201201,10560
175,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201130,10495
176,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201127,10580
177,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201126,10720
178,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201125,10820
179,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201124,10855
180,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201123,10730
181,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201120,10490
182,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201119,10670
183,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201118,10785
184,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201117,11000
185,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201116,10875
186,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201113,10740
187,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201112,10690
188,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201111,10675
189,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201110,10535
190,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201109,10400
191,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201106,10400
192,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201105,10100
193,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201104,10130
194,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201103,10315
195,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201102,10270
196,A360140,KODEX 200╥удз╫╨╢з150╪Т╪╠╧╟,20201030,10315
