,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,¡æ∞°
0,A279060,¿Ã≥Î∫§Ω∫,20210812,3400
1,A279060,¿Ã≥Î∫§Ω∫,20210811,3405
2,A279060,¿Ã≥Î∫§Ω∫,20210810,3400
3,A279060,¿Ã≥Î∫§Ω∫,20210809,3450
4,A279060,¿Ã≥Î∫§Ω∫,20210806,3600
5,A279060,¿Ã≥Î∫§Ω∫,20210805,3710
6,A279060,¿Ã≥Î∫§Ω∫,20210804,3750
7,A279060,¿Ã≥Î∫§Ω∫,20210803,4060
8,A279060,¿Ã≥Î∫§Ω∫,20210802,3540
9,A279060,¿Ã≥Î∫§Ω∫,20210730,3515
10,A279060,¿Ã≥Î∫§Ω∫,20210729,3330
11,A279060,¿Ã≥Î∫§Ω∫,20210728,3240
12,A279060,¿Ã≥Î∫§Ω∫,20210727,3245
13,A279060,¿Ã≥Î∫§Ω∫,20210726,3280
14,A279060,¿Ã≥Î∫§Ω∫,20210723,3290
15,A279060,¿Ã≥Î∫§Ω∫,20210722,3295
16,A279060,¿Ã≥Î∫§Ω∫,20210721,3210
17,A279060,¿Ã≥Î∫§Ω∫,20210720,3170
18,A279060,¿Ã≥Î∫§Ω∫,20210719,3090
19,A279060,¿Ã≥Î∫§Ω∫,20210716,3050
20,A279060,¿Ã≥Î∫§Ω∫,20210715,3075
21,A279060,¿Ã≥Î∫§Ω∫,20210714,3180
22,A279060,¿Ã≥Î∫§Ω∫,20210713,3195
23,A279060,¿Ã≥Î∫§Ω∫,20210712,3130
24,A279060,¿Ã≥Î∫§Ω∫,20210709,3090
25,A279060,¿Ã≥Î∫§Ω∫,20210708,3100
26,A279060,¿Ã≥Î∫§Ω∫,20210707,3145
27,A279060,¿Ã≥Î∫§Ω∫,20210706,3095
28,A279060,¿Ã≥Î∫§Ω∫,20210705,3300
29,A279060,¿Ã≥Î∫§Ω∫,20210702,3235
30,A279060,¿Ã≥Î∫§Ω∫,20210701,3200
31,A279060,¿Ã≥Î∫§Ω∫,20210630,3100
32,A279060,¿Ã≥Î∫§Ω∫,20210629,3140
33,A279060,¿Ã≥Î∫§Ω∫,20210628,3125
34,A279060,¿Ã≥Î∫§Ω∫,20210625,3215
35,A279060,¿Ã≥Î∫§Ω∫,20210624,3185
36,A279060,¿Ã≥Î∫§Ω∫,20210623,3195
37,A279060,¿Ã≥Î∫§Ω∫,20210622,3300
38,A279060,¿Ã≥Î∫§Ω∫,20210621,3285
39,A279060,¿Ã≥Î∫§Ω∫,20210618,3200
40,A279060,¿Ã≥Î∫§Ω∫,20210617,3315
41,A279060,¿Ã≥Î∫§Ω∫,20210616,3380
42,A279060,¿Ã≥Î∫§Ω∫,20210615,3390
43,A279060,¿Ã≥Î∫§Ω∫,20210614,3400
44,A279060,¿Ã≥Î∫§Ω∫,20210611,3450
45,A279060,¿Ã≥Î∫§Ω∫,20210610,3390
46,A279060,¿Ã≥Î∫§Ω∫,20210609,3295
47,A279060,¿Ã≥Î∫§Ω∫,20210608,3170
48,A279060,¿Ã≥Î∫§Ω∫,20210607,3110
49,A279060,¿Ã≥Î∫§Ω∫,20210604,3125
50,A279060,¿Ã≥Î∫§Ω∫,20210603,3335
51,A279060,¿Ã≥Î∫§Ω∫,20210602,3340
52,A279060,¿Ã≥Î∫§Ω∫,20210601,3285
53,A279060,¿Ã≥Î∫§Ω∫,20210531,3300
54,A279060,¿Ã≥Î∫§Ω∫,20210528,3290
55,A279060,¿Ã≥Î∫§Ω∫,20210527,3240
56,A279060,¿Ã≥Î∫§Ω∫,20210526,3200
57,A279060,¿Ã≥Î∫§Ω∫,20210525,3230
58,A279060,¿Ã≥Î∫§Ω∫,20210524,3215
59,A279060,¿Ã≥Î∫§Ω∫,20210521,3345
60,A279060,¿Ã≥Î∫§Ω∫,20210520,3295
61,A279060,¿Ã≥Î∫§Ω∫,20210518,3130
62,A279060,¿Ã≥Î∫§Ω∫,20210517,2725
63,A279060,¿Ã≥Î∫§Ω∫,20210514,2370
64,A279060,¿Ã≥Î∫§Ω∫,20210513,2065
65,A279060,¿Ã≥Î∫§Ω∫,20210512,1950
66,A279060,¿Ã≥Î∫§Ω∫,20210511,1870
67,A279060,¿Ã≥Î∫§Ω∫,20210510,1790
68,A279060,¿Ã≥Î∫§Ω∫,20210507,1885
69,A279060,¿Ã≥Î∫§Ω∫,20210506,1885
70,A279060,¿Ã≥Î∫§Ω∫,20210504,2215
71,A279060,¿Ã≥Î∫§Ω∫,20210503,2605
72,A279060,¿Ã≥Î∫§Ω∫,20210430,3060
73,A279060,¿Ã≥Î∫§Ω∫,20210429,3600
74,A279060,¿Ã≥Î∫§Ω∫,20210428,3845
75,A279060,¿Ã≥Î∫§Ω∫,20210427,3850
76,A279060,¿Ã≥Î∫§Ω∫,20210426,4330
77,A279060,¿Ã≥Î∫§Ω∫,20210423,4500
78,A279060,¿Ã≥Î∫§Ω∫,20210422,4850
79,A279060,¿Ã≥Î∫§Ω∫,20210421,4800
80,A279060,¿Ã≥Î∫§Ω∫,20210420,4900
81,A279060,¿Ã≥Î∫§Ω∫,20210419,4900
82,A279060,¿Ã≥Î∫§Ω∫,20210416,4910
83,A279060,¿Ã≥Î∫§Ω∫,20210415,5000
84,A279060,¿Ã≥Î∫§Ω∫,20210414,5400
85,A279060,¿Ã≥Î∫§Ω∫,20210413,5350
86,A279060,¿Ã≥Î∫§Ω∫,20210412,5380
87,A279060,¿Ã≥Î∫§Ω∫,20210409,5020
88,A279060,¿Ã≥Î∫§Ω∫,20210408,5070
89,A279060,¿Ã≥Î∫§Ω∫,20210407,5180
90,A279060,¿Ã≥Î∫§Ω∫,20210406,5230
91,A279060,¿Ã≥Î∫§Ω∫,20210405,4990
92,A279060,¿Ã≥Î∫§Ω∫,20210402,4810
93,A279060,¿Ã≥Î∫§Ω∫,20210401,5240
94,A279060,¿Ã≥Î∫§Ω∫,20210331,4890
95,A279060,¿Ã≥Î∫§Ω∫,20210330,4500
96,A279060,¿Ã≥Î∫§Ω∫,20210329,5130
97,A279060,¿Ã≥Î∫§Ω∫,20210326,5070
98,A279060,¿Ã≥Î∫§Ω∫,20210325,5040
99,A279060,¿Ã≥Î∫§Ω∫,20210324,5060
100,A279060,¿Ã≥Î∫§Ω∫,20210323,5050
101,A279060,¿Ã≥Î∫§Ω∫,20210322,5000
102,A279060,¿Ã≥Î∫§Ω∫,20210319,5200
103,A279060,¿Ã≥Î∫§Ω∫,20210318,5200
104,A279060,¿Ã≥Î∫§Ω∫,20210317,5100
105,A279060,¿Ã≥Î∫§Ω∫,20210316,5380
106,A279060,¿Ã≥Î∫§Ω∫,20210315,6320
107,A279060,¿Ã≥Î∫§Ω∫,20210312,6550
108,A279060,¿Ã≥Î∫§Ω∫,20210311,6490
109,A279060,¿Ã≥Î∫§Ω∫,20210310,6450
110,A279060,¿Ã≥Î∫§Ω∫,20210309,6440
111,A279060,¿Ã≥Î∫§Ω∫,20210308,6650
112,A279060,¿Ã≥Î∫§Ω∫,20210305,6690
113,A279060,¿Ã≥Î∫§Ω∫,20210304,6800
114,A279060,¿Ã≥Î∫§Ω∫,20210303,6700
115,A279060,¿Ã≥Î∫§Ω∫,20210302,6610
116,A279060,¿Ã≥Î∫§Ω∫,20210226,6900
117,A279060,¿Ã≥Î∫§Ω∫,20210225,6850
118,A279060,¿Ã≥Î∫§Ω∫,20210224,6500
119,A279060,¿Ã≥Î∫§Ω∫,20210223,6900
120,A279060,¿Ã≥Î∫§Ω∫,20210222,6800
121,A279060,¿Ã≥Î∫§Ω∫,20210219,7800
122,A279060,¿Ã≥Î∫§Ω∫,20210218,8150
123,A279060,¿Ã≥Î∫§Ω∫,20210217,8000
124,A279060,¿Ã≥Î∫§Ω∫,20210216,8210
125,A279060,¿Ã≥Î∫§Ω∫,20210215,8710
126,A279060,¿Ã≥Î∫§Ω∫,20210210,8340
127,A279060,¿Ã≥Î∫§Ω∫,20210209,7490
128,A279060,¿Ã≥Î∫§Ω∫,20210208,6520
