,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A244620,KODEX ธ๐ธเลาPlus,20210812,13750
1,A244620,KODEX ธ๐ธเลาPlus,20210811,13580
2,A244620,KODEX ธ๐ธเลาPlus,20210810,13620
3,A244620,KODEX ธ๐ธเลาPlus,20210809,13775
4,A244620,KODEX ธ๐ธเลาPlus,20210806,13705
5,A244620,KODEX ธ๐ธเลาPlus,20210805,13760
6,A244620,KODEX ธ๐ธเลาPlus,20210804,13685
7,A244620,KODEX ธ๐ธเลาPlus,20210803,13545
8,A244620,KODEX ธ๐ธเลาPlus,20210802,13585
9,A244620,KODEX ธ๐ธเลาPlus,20210730,13560
10,A244620,KODEX ธ๐ธเลาPlus,20210729,13735
11,A244620,KODEX ธ๐ธเลาPlus,20210728,13610
12,A244620,KODEX ธ๐ธเลาPlus,20210727,13720
13,A244620,KODEX ธ๐ธเลาPlus,20210726,13755
14,A244620,KODEX ธ๐ธเลาPlus,20210723,13725
15,A244620,KODEX ธ๐ธเลาPlus,20210722,13465
16,A244620,KODEX ธ๐ธเลาPlus,20210721,13415
17,A244620,KODEX ธ๐ธเลาPlus,20210720,13260
18,A244620,KODEX ธ๐ธเลาPlus,20210719,13305
19,A244620,KODEX ธ๐ธเลาPlus,20210716,13275
20,A244620,KODEX ธ๐ธเลาPlus,20210715,13190
21,A244620,KODEX ธ๐ธเลาPlus,20210714,13015
22,A244620,KODEX ธ๐ธเลาPlus,20210713,12920
23,A244620,KODEX ธ๐ธเลาPlus,20210712,12820
24,A244620,KODEX ธ๐ธเลาPlus,20210709,12715
25,A244620,KODEX ธ๐ธเลาPlus,20210708,12815
26,A244620,KODEX ธ๐ธเลาPlus,20210707,12950
27,A244620,KODEX ธ๐ธเลาPlus,20210706,13020
28,A244620,KODEX ธ๐ธเลาPlus,20210705,13010
29,A244620,KODEX ธ๐ธเลาPlus,20210702,12940
30,A244620,KODEX ธ๐ธเลาPlus,20210701,12970
31,A244620,KODEX ธ๐ธเลาPlus,20210630,12990
32,A244620,KODEX ธ๐ธเลาPlus,20210629,12955
33,A244620,KODEX ธ๐ธเลาPlus,20210628,12950
34,A244620,KODEX ธ๐ธเลาPlus,20210625,12930
35,A244620,KODEX ธ๐ธเลาPlus,20210624,12870
36,A244620,KODEX ธ๐ธเลาPlus,20210623,12860
37,A244620,KODEX ธ๐ธเลาPlus,20210622,12845
38,A244620,KODEX ธ๐ธเลาPlus,20210621,12640
39,A244620,KODEX ธ๐ธเลาPlus,20210618,12845
40,A244620,KODEX ธ๐ธเลาPlus,20210617,12735
41,A244620,KODEX ธ๐ธเลาPlus,20210616,12630
42,A244620,KODEX ธ๐ธเลาPlus,20210615,12490
43,A244620,KODEX ธ๐ธเลาPlus,20210614,12505
44,A244620,KODEX ธ๐ธเลาPlus,20210611,12480
45,A244620,KODEX ธ๐ธเลาPlus,20210610,12415
46,A244620,KODEX ธ๐ธเลาPlus,20210609,12395
47,A244620,KODEX ธ๐ธเลาPlus,20210608,12525
48,A244620,KODEX ธ๐ธเลาPlus,20210607,12635
49,A244620,KODEX ธ๐ธเลาPlus,20210604,12590
