,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
90,A253450,½ºÆ©µð¿Àµå·¡°ï,20210406,101900
91,A253450,½ºÆ©µð¿Àµå·¡°ï,20210405,99300
92,A253450,½ºÆ©µð¿Àµå·¡°ï,20210402,99800
93,A253450,½ºÆ©µð¿Àµå·¡°ï,20210401,99200
94,A253450,½ºÆ©µð¿Àµå·¡°ï,20210331,99900
95,A253450,½ºÆ©µð¿Àµå·¡°ï,20210330,100400
96,A253450,½ºÆ©µð¿Àµå·¡°ï,20210329,99700
97,A253450,½ºÆ©µð¿Àµå·¡°ï,20210326,93400
98,A253450,½ºÆ©µð¿Àµå·¡°ï,20210325,94800
99,A253450,½ºÆ©µð¿Àµå·¡°ï,20210324,94100
100,A253450,½ºÆ©µð¿Àµå·¡°ï,20210323,94500
101,A253450,½ºÆ©µð¿Àµå·¡°ï,20210322,94400
102,A253450,½ºÆ©µð¿Àµå·¡°ï,20210319,94300
103,A253450,½ºÆ©µð¿Àµå·¡°ï,20210318,95800
104,A253450,½ºÆ©µð¿Àµå·¡°ï,20210317,96600
105,A253450,½ºÆ©µð¿Àµå·¡°ï,20210316,96800
106,A253450,½ºÆ©µð¿Àµå·¡°ï,20210315,94000
107,A253450,½ºÆ©µð¿Àµå·¡°ï,20210312,94000
108,A253450,½ºÆ©µð¿Àµå·¡°ï,20210311,93500
109,A253450,½ºÆ©µð¿Àµå·¡°ï,20210310,91000
110,A253450,½ºÆ©µð¿Àµå·¡°ï,20210309,92800
111,A253450,½ºÆ©µð¿Àµå·¡°ï,20210308,95300
112,A253450,½ºÆ©µð¿Àµå·¡°ï,20210305,96400
113,A253450,½ºÆ©µð¿Àµå·¡°ï,20210304,97200
114,A253450,½ºÆ©µð¿Àµå·¡°ï,20210303,96700
115,A253450,½ºÆ©µð¿Àµå·¡°ï,20210302,97100
116,A253450,½ºÆ©µð¿Àµå·¡°ï,20210226,96200
117,A253450,½ºÆ©µð¿Àµå·¡°ï,20210225,98300
118,A253450,½ºÆ©µð¿Àµå·¡°ï,20210224,95300
119,A253450,½ºÆ©µð¿Àµå·¡°ï,20210223,95900
120,A253450,½ºÆ©µð¿Àµå·¡°ï,20210222,96800
121,A253450,½ºÆ©µð¿Àµå·¡°ï,20210219,98900
122,A253450,½ºÆ©µð¿Àµå·¡°ï,20210218,99100
123,A253450,½ºÆ©µð¿Àµå·¡°ï,20210217,100700
124,A253450,½ºÆ©µð¿Àµå·¡°ï,20210216,100400
125,A253450,½ºÆ©µð¿Àµå·¡°ï,20210215,99900
126,A253450,½ºÆ©µð¿Àµå·¡°ï,20210210,98700
127,A253450,½ºÆ©µð¿Àµå·¡°ï,20210209,96900
128,A253450,½ºÆ©µð¿Àµå·¡°ï,20210208,97500
129,A253450,½ºÆ©µð¿Àµå·¡°ï,20210205,98900
130,A253450,½ºÆ©µð¿Àµå·¡°ï,20210204,100100
131,A253450,½ºÆ©µð¿Àµå·¡°ï,20210203,100900
132,A253450,½ºÆ©µð¿Àµå·¡°ï,20210202,100200
133,A253450,½ºÆ©µð¿Àµå·¡°ï,20210201,99700
134,A253450,½ºÆ©µð¿Àµå·¡°ï,20210129,98900
135,A253450,½ºÆ©µð¿Àµå·¡°ï,20210128,101800
136,A253450,½ºÆ©µð¿Àµå·¡°ï,20210127,104200
137,A253450,½ºÆ©µð¿Àµå·¡°ï,20210126,105700
138,A253450,½ºÆ©µð¿Àµå·¡°ï,20210125,108500
139,A253450,½ºÆ©µð¿Àµå·¡°ï,20210122,109200
140,A253450,½ºÆ©µð¿Àµå·¡°ï,20210121,105800
141,A253450,½ºÆ©µð¿Àµå·¡°ï,20210120,106900
