,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
112,A147830,Á¦·æ»ê¾÷,20210305,6390
113,A147830,Á¦·æ»ê¾÷,20210304,6400
114,A147830,Á¦·æ»ê¾÷,20210303,6290
115,A147830,Á¦·æ»ê¾÷,20210302,6210
116,A147830,Á¦·æ»ê¾÷,20210226,6290
117,A147830,Á¦·æ»ê¾÷,20210225,6550
118,A147830,Á¦·æ»ê¾÷,20210224,6370
119,A147830,Á¦·æ»ê¾÷,20210223,6680
120,A147830,Á¦·æ»ê¾÷,20210222,6730
121,A147830,Á¦·æ»ê¾÷,20210219,6750
122,A147830,Á¦·æ»ê¾÷,20210218,6550
123,A147830,Á¦·æ»ê¾÷,20210217,6840
124,A147830,Á¦·æ»ê¾÷,20210216,6320
125,A147830,Á¦·æ»ê¾÷,20210215,6220
126,A147830,Á¦·æ»ê¾÷,20210210,6150
127,A147830,Á¦·æ»ê¾÷,20210209,6170
128,A147830,Á¦·æ»ê¾÷,20210208,6230
129,A147830,Á¦·æ»ê¾÷,20210205,6220
130,A147830,Á¦·æ»ê¾÷,20210204,6300
131,A147830,Á¦·æ»ê¾÷,20210203,6260
132,A147830,Á¦·æ»ê¾÷,20210202,6230
133,A147830,Á¦·æ»ê¾÷,20210201,6030
134,A147830,Á¦·æ»ê¾÷,20210129,5980
135,A147830,Á¦·æ»ê¾÷,20210128,6090
136,A147830,Á¦·æ»ê¾÷,20210127,6220
137,A147830,Á¦·æ»ê¾÷,20210126,6220
138,A147830,Á¦·æ»ê¾÷,20210125,6160
139,A147830,Á¦·æ»ê¾÷,20210122,6150
140,A147830,Á¦·æ»ê¾÷,20210121,6030
141,A147830,Á¦·æ»ê¾÷,20210120,6030
142,A147830,Á¦·æ»ê¾÷,20210119,6000
143,A147830,Á¦·æ»ê¾÷,20210118,5950
144,A147830,Á¦·æ»ê¾÷,20210115,5850
145,A147830,Á¦·æ»ê¾÷,20210114,5840
146,A147830,Á¦·æ»ê¾÷,20210113,5830
147,A147830,Á¦·æ»ê¾÷,20210112,5790
148,A147830,Á¦·æ»ê¾÷,20210111,5650
149,A147830,Á¦·æ»ê¾÷,20210108,5920
150,A147830,Á¦·æ»ê¾÷,20210107,6030
151,A147830,Á¦·æ»ê¾÷,20210106,6010
152,A147830,Á¦·æ»ê¾÷,20210105,5880
153,A147830,Á¦·æ»ê¾÷,20210104,5870
154,A147830,Á¦·æ»ê¾÷,20201230,5860
155,A147830,Á¦·æ»ê¾÷,20201229,5680
156,A147830,Á¦·æ»ê¾÷,20201228,5860
157,A147830,Á¦·æ»ê¾÷,20201224,7020
158,A147830,Á¦·æ»ê¾÷,20201223,6890
159,A147830,Á¦·æ»ê¾÷,20201222,7090
160,A147830,Á¦·æ»ê¾÷,20201221,7020
161,A147830,Á¦·æ»ê¾÷,20201218,7030
162,A147830,Á¦·æ»ê¾÷,20201217,6730
163,A147830,Á¦·æ»ê¾÷,20201216,5730
164,A147830,Á¦·æ»ê¾÷,20201215,5760
165,A147830,Á¦·æ»ê¾÷,20201214,5860
166,A147830,Á¦·æ»ê¾÷,20201211,5910
167,A147830,Á¦·æ»ê¾÷,20201210,5720
168,A147830,Á¦·æ»ê¾÷,20201209,5730
169,A147830,Á¦·æ»ê¾÷,20201208,5360
170,A147830,Á¦·æ»ê¾÷,20201207,5260
171,A147830,Á¦·æ»ê¾÷,20201204,5350
172,A147830,Á¦·æ»ê¾÷,20201203,5400
173,A147830,Á¦·æ»ê¾÷,20201202,5370
174,A147830,Á¦·æ»ê¾÷,20201201,5360
175,A147830,Á¦·æ»ê¾÷,20201130,5360
176,A147830,Á¦·æ»ê¾÷,20201127,5320
177,A147830,Á¦·æ»ê¾÷,20201126,5270
178,A147830,Á¦·æ»ê¾÷,20201125,5290
179,A147830,Á¦·æ»ê¾÷,20201124,5300
180,A147830,Á¦·æ»ê¾÷,20201123,5200
181,A147830,Á¦·æ»ê¾÷,20201120,5160
182,A147830,Á¦·æ»ê¾÷,20201119,5110
183,A147830,Á¦·æ»ê¾÷,20201118,5110
184,A147830,Á¦·æ»ê¾÷,20201117,5140
185,A147830,Á¦·æ»ê¾÷,20201116,5180
186,A147830,Á¦·æ»ê¾÷,20201113,5190
187,A147830,Á¦·æ»ê¾÷,20201112,5290
188,A147830,Á¦·æ»ê¾÷,20201111,5280
189,A147830,Á¦·æ»ê¾÷,20201110,5250
190,A147830,Á¦·æ»ê¾÷,20201109,5250
191,A147830,Á¦·æ»ê¾÷,20201106,5170
192,A147830,Á¦·æ»ê¾÷,20201105,5220
193,A147830,Á¦·æ»ê¾÷,20201104,5400
194,A147830,Á¦·æ»ê¾÷,20201103,5200
195,A147830,Á¦·æ»ê¾÷,20201102,5080
196,A147830,Á¦·æ»ê¾÷,20201030,5030
197,A147830,Á¦·æ»ê¾÷,20201029,5090
198,A147830,Á¦·æ»ê¾÷,20201028,5110
199,A147830,Á¦·æ»ê¾÷,20201027,5170
200,A147830,Á¦·æ»ê¾÷,20201026,5320
201,A147830,Á¦·æ»ê¾÷,20201023,5390
202,A147830,Á¦·æ»ê¾÷,20201022,5380
203,A147830,Á¦·æ»ê¾÷,20201021,5360
204,A147830,Á¦·æ»ê¾÷,20201020,5300
205,A147830,Á¦·æ»ê¾÷,20201019,5290
206,A147830,Á¦·æ»ê¾÷,20201016,5350
207,A147830,Á¦·æ»ê¾÷,20201015,5360
208,A147830,Á¦·æ»ê¾÷,20201014,5420
209,A147830,Á¦·æ»ê¾÷,20201013,5430
210,A147830,Á¦·æ»ê¾÷,20201012,5360
211,A147830,Á¦·æ»ê¾÷,20201008,5300
212,A147830,Á¦·æ»ê¾÷,20201007,5300
