,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
121,A248070,¼Ö·ç¿¥,20210219,25350
122,A248070,¼Ö·ç¿¥,20210218,26000
123,A248070,¼Ö·ç¿¥,20210217,26500
124,A248070,¼Ö·ç¿¥,20210216,29200
125,A248070,¼Ö·ç¿¥,20210215,27800
126,A248070,¼Ö·ç¿¥,20210210,28100
127,A248070,¼Ö·ç¿¥,20210209,27050
128,A248070,¼Ö·ç¿¥,20210208,25850
129,A248070,¼Ö·ç¿¥,20210205,24850
130,A248070,¼Ö·ç¿¥,20210204,26050
131,A248070,¼Ö·ç¿¥,20210203,28450
132,A248070,¼Ö·ç¿¥,20210202,29150
