,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A199800,ล๘มจ,20210812,129500
1,A199800,ล๘มจ,20210811,130400
2,A199800,ล๘มจ,20210810,129300
3,A199800,ล๘มจ,20210809,128000
4,A199800,ล๘มจ,20210806,121400
5,A199800,ล๘มจ,20210805,121200
6,A199800,ล๘มจ,20210804,120200
7,A199800,ล๘มจ,20210803,119300
8,A199800,ล๘มจ,20210802,118400
9,A199800,ล๘มจ,20210730,118600
10,A199800,ล๘มจ,20210729,119500
11,A199800,ล๘มจ,20210728,119100
12,A199800,ล๘มจ,20210727,119800
13,A199800,ล๘มจ,20210726,119300
14,A199800,ล๘มจ,20210723,119400
15,A199800,ล๘มจ,20210722,119400
16,A199800,ล๘มจ,20210721,118700
17,A199800,ล๘มจ,20210720,118500
18,A199800,ล๘มจ,20210719,119900
19,A199800,ล๘มจ,20210716,122500
20,A199800,ล๘มจ,20210715,122500
21,A199800,ล๘มจ,20210714,122500
22,A199800,ล๘มจ,20210713,126400
23,A199800,ล๘มจ,20210712,127000
24,A199800,ล๘มจ,20210709,126500
25,A199800,ล๘มจ,20210708,129000
26,A199800,ล๘มจ,20210707,130000
27,A199800,ล๘มจ,20210706,130000
28,A199800,ล๘มจ,20210705,130700
29,A199800,ล๘มจ,20210702,129500
30,A199800,ล๘มจ,20210701,129500
31,A199800,ล๘มจ,20210630,129000
32,A199800,ล๘มจ,20210629,129300
33,A199800,ล๘มจ,20210628,126800
34,A199800,ล๘มจ,20210625,125900
35,A199800,ล๘มจ,20210624,118300
36,A199800,ล๘มจ,20210623,108800
37,A199800,ล๘มจ,20210622,112800
38,A199800,ล๘มจ,20210621,116400
39,A199800,ล๘มจ,20210618,120200
40,A199800,ล๘มจ,20210617,120400
41,A199800,ล๘มจ,20210616,120000
42,A199800,ล๘มจ,20210615,120500
43,A199800,ล๘มจ,20210614,125000
44,A199800,ล๘มจ,20210611,116400
45,A199800,ล๘มจ,20210610,103500
46,A199800,ล๘มจ,20210609,102100
47,A199800,ล๘มจ,20210608,102000
48,A199800,ล๘มจ,20210607,100700
49,A199800,ล๘มจ,20210604,100700
50,A199800,ล๘มจ,20210603,101800
51,A199800,ล๘มจ,20210602,101700
52,A199800,ล๘มจ,20210601,102100
53,A199800,ล๘มจ,20210531,100900
54,A199800,ล๘มจ,20210528,100700
55,A199800,ล๘มจ,20210527,97800
56,A199800,ล๘มจ,20210526,94800
57,A199800,ล๘มจ,20210525,94800
58,A199800,ล๘มจ,20210524,94500
59,A199800,ล๘มจ,20210521,97200
60,A199800,ล๘มจ,20210520,95000
61,A199800,ล๘มจ,20210518,94200
62,A199800,ล๘มจ,20210517,95000
63,A199800,ล๘มจ,20210514,97300
64,A199800,ล๘มจ,20210513,90200
65,A199800,ล๘มจ,20210512,91400
66,A199800,ล๘มจ,20210511,91000
67,A199800,ล๘มจ,20210510,90900
68,A199800,ล๘มจ,20210507,89900
69,A199800,ล๘มจ,20210506,90000
70,A199800,ล๘มจ,20210504,91700
71,A199800,ล๘มจ,20210503,93800
72,A199800,ล๘มจ,20210430,95900
73,A199800,ล๘มจ,20210429,97600
74,A199800,ล๘มจ,20210428,98600
75,A199800,ล๘มจ,20210427,99200
76,A199800,ล๘มจ,20210426,97600
77,A199800,ล๘มจ,20210423,97200
78,A199800,ล๘มจ,20210422,98000
79,A199800,ล๘มจ,20210421,98000
80,A199800,ล๘มจ,20210420,98800
81,A199800,ล๘มจ,20210419,100400
82,A199800,ล๘มจ,20210416,100700
83,A199800,ล๘มจ,20210415,101000
84,A199800,ล๘มจ,20210414,99800
85,A199800,ล๘มจ,20210413,101900
86,A199800,ล๘มจ,20210412,102000
87,A199800,ล๘มจ,20210409,103600
88,A199800,ล๘มจ,20210408,97900
89,A199800,ล๘มจ,20210407,98000
90,A199800,ล๘มจ,20210406,100000
91,A199800,ล๘มจ,20210405,102700
92,A199800,ล๘มจ,20210402,104000
93,A199800,ล๘มจ,20210401,103600
94,A199800,ล๘มจ,20210331,106000
95,A199800,ล๘มจ,20210330,110700
96,A199800,ล๘มจ,20210329,112300
97,A199800,ล๘มจ,20210326,112500
98,A199800,ล๘มจ,20210325,113300
99,A199800,ล๘มจ,20210324,115100
100,A199800,ล๘มจ,20210323,116500
101,A199800,ล๘มจ,20210322,119800
102,A199800,ล๘มจ,20210319,120000
103,A199800,ล๘มจ,20210318,120300
104,A199800,ล๘มจ,20210317,115400
105,A199800,ล๘มจ,20210316,112700
106,A199800,ล๘มจ,20210315,114200
107,A199800,ล๘มจ,20210312,112900
108,A199800,ล๘มจ,20210311,112400
109,A199800,ล๘มจ,20210310,109700
110,A199800,ล๘มจ,20210309,111200
111,A199800,ล๘มจ,20210308,112000
112,A199800,ล๘มจ,20210305,110700
113,A199800,ล๘มจ,20210304,107000
114,A199800,ล๘มจ,20210303,108500
115,A199800,ล๘มจ,20210302,110400
116,A199800,ล๘มจ,20210226,110200
117,A199800,ล๘มจ,20210225,113100
118,A199800,ล๘มจ,20210224,110000
119,A199800,ล๘มจ,20210223,115000
120,A199800,ล๘มจ,20210222,120500
121,A199800,ล๘มจ,20210219,122300
122,A199800,ล๘มจ,20210218,122300
123,A199800,ล๘มจ,20210217,122300
124,A199800,ล๘มจ,20210216,124300
125,A199800,ล๘มจ,20210215,127000
126,A199800,ล๘มจ,20210210,130000
127,A199800,ล๘มจ,20210209,129900
128,A199800,ล๘มจ,20210208,128600
129,A199800,ล๘มจ,20210205,129500
