,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,Á¾°¡
0,A091120,ÀÌ¿¥ÅØ,20210812,23450
1,A091120,ÀÌ¿¥ÅØ,20210811,23150
2,A091120,ÀÌ¿¥ÅØ,20210810,23450
3,A091120,ÀÌ¿¥ÅØ,20210809,23600
4,A091120,ÀÌ¿¥ÅØ,20210806,23650
5,A091120,ÀÌ¿¥ÅØ,20210805,24300
6,A091120,ÀÌ¿¥ÅØ,20210804,21850
7,A091120,ÀÌ¿¥ÅØ,20210803,21300
8,A091120,ÀÌ¿¥ÅØ,20210802,21800
9,A091120,ÀÌ¿¥ÅØ,20210730,21150
10,A091120,ÀÌ¿¥ÅØ,20210729,21150
11,A091120,ÀÌ¿¥ÅØ,20210728,21500
12,A091120,ÀÌ¿¥ÅØ,20210727,21850
13,A091120,ÀÌ¿¥ÅØ,20210726,21800
14,A091120,ÀÌ¿¥ÅØ,20210723,22150
15,A091120,ÀÌ¿¥ÅØ,20210722,21600
16,A091120,ÀÌ¿¥ÅØ,20210721,21100
17,A091120,ÀÌ¿¥ÅØ,20210720,20800
18,A091120,ÀÌ¿¥ÅØ,20210719,21150
19,A091120,ÀÌ¿¥ÅØ,20210716,22000
20,A091120,ÀÌ¿¥ÅØ,20210715,22100
21,A091120,ÀÌ¿¥ÅØ,20210714,21650
22,A091120,ÀÌ¿¥ÅØ,20210713,21000
23,A091120,ÀÌ¿¥ÅØ,20210712,19650
24,A091120,ÀÌ¿¥ÅØ,20210709,17300
25,A091120,ÀÌ¿¥ÅØ,20210708,17800
26,A091120,ÀÌ¿¥ÅØ,20210707,18150
27,A091120,ÀÌ¿¥ÅØ,20210706,18250
28,A091120,ÀÌ¿¥ÅØ,20210705,18500
29,A091120,ÀÌ¿¥ÅØ,20210702,18200
30,A091120,ÀÌ¿¥ÅØ,20210701,18150
31,A091120,ÀÌ¿¥ÅØ,20210630,19100
32,A091120,ÀÌ¿¥ÅØ,20210629,19050
33,A091120,ÀÌ¿¥ÅØ,20210628,19200
34,A091120,ÀÌ¿¥ÅØ,20210625,19100
35,A091120,ÀÌ¿¥ÅØ,20210624,19000
36,A091120,ÀÌ¿¥ÅØ,20210623,19100
37,A091120,ÀÌ¿¥ÅØ,20210622,19300
38,A091120,ÀÌ¿¥ÅØ,20210621,18950
39,A091120,ÀÌ¿¥ÅØ,20210618,19000
40,A091120,ÀÌ¿¥ÅØ,20210617,19000
41,A091120,ÀÌ¿¥ÅØ,20210616,18000
42,A091120,ÀÌ¿¥ÅØ,20210615,17900
43,A091120,ÀÌ¿¥ÅØ,20210614,17900
44,A091120,ÀÌ¿¥ÅØ,20210611,18050
45,A091120,ÀÌ¿¥ÅØ,20210610,18050
46,A091120,ÀÌ¿¥ÅØ,20210609,17900
47,A091120,ÀÌ¿¥ÅØ,20210608,18300
48,A091120,ÀÌ¿¥ÅØ,20210607,17900
