,曽鯉坪球,曽鯉誤,劾促,曽亜
0,A068400,SK兄斗朝,20210812,13250
1,A068400,SK兄斗朝,20210811,13150
2,A068400,SK兄斗朝,20210810,13200
3,A068400,SK兄斗朝,20210809,13200
4,A068400,SK兄斗朝,20210806,14250
5,A068400,SK兄斗朝,20210805,15100
6,A068400,SK兄斗朝,20210804,15300
7,A068400,SK兄斗朝,20210803,15250
8,A068400,SK兄斗朝,20210802,15600
9,A068400,SK兄斗朝,20210730,14900
10,A068400,SK兄斗朝,20210729,14950
11,A068400,SK兄斗朝,20210728,14950
12,A068400,SK兄斗朝,20210727,15050
13,A068400,SK兄斗朝,20210726,14950
14,A068400,SK兄斗朝,20210723,14700
15,A068400,SK兄斗朝,20210722,14650
16,A068400,SK兄斗朝,20210721,14450
17,A068400,SK兄斗朝,20210720,14800
18,A068400,SK兄斗朝,20210719,15000
19,A068400,SK兄斗朝,20210716,15000
20,A068400,SK兄斗朝,20210715,15050
21,A068400,SK兄斗朝,20210714,15200
22,A068400,SK兄斗朝,20210713,14900
23,A068400,SK兄斗朝,20210712,14250
24,A068400,SK兄斗朝,20210709,13650
25,A068400,SK兄斗朝,20210708,13900
26,A068400,SK兄斗朝,20210707,14350
27,A068400,SK兄斗朝,20210706,14600
28,A068400,SK兄斗朝,20210705,14700
29,A068400,SK兄斗朝,20210702,13950
30,A068400,SK兄斗朝,20210701,13650
31,A068400,SK兄斗朝,20210630,13700
32,A068400,SK兄斗朝,20210629,13550
33,A068400,SK兄斗朝,20210628,13400
34,A068400,SK兄斗朝,20210625,13600
35,A068400,SK兄斗朝,20210624,13550
36,A068400,SK兄斗朝,20210623,13500
37,A068400,SK兄斗朝,20210622,13800
38,A068400,SK兄斗朝,20210621,13900
39,A068400,SK兄斗朝,20210618,14200
40,A068400,SK兄斗朝,20210617,14500
41,A068400,SK兄斗朝,20210616,14550
42,A068400,SK兄斗朝,20210615,14650
43,A068400,SK兄斗朝,20210614,14800
44,A068400,SK兄斗朝,20210611,14950
45,A068400,SK兄斗朝,20210610,14900
46,A068400,SK兄斗朝,20210609,15350
47,A068400,SK兄斗朝,20210608,14250
48,A068400,SK兄斗朝,20210607,14200
49,A068400,SK兄斗朝,20210604,14450
50,A068400,SK兄斗朝,20210603,14550
51,A068400,SK兄斗朝,20210602,14900
52,A068400,SK兄斗朝,20210601,15000
53,A068400,SK兄斗朝,20210531,14750
54,A068400,SK兄斗朝,20210528,13600
55,A068400,SK兄斗朝,20210527,14000
56,A068400,SK兄斗朝,20210526,13750
57,A068400,SK兄斗朝,20210525,13500
58,A068400,SK兄斗朝,20210524,13250
59,A068400,SK兄斗朝,20210521,12650
60,A068400,SK兄斗朝,20210520,13050
61,A068400,SK兄斗朝,20210518,13250
62,A068400,SK兄斗朝,20210517,13400
63,A068400,SK兄斗朝,20210514,12850
