,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A002020,ฤฺฟภที,20210812,30750
1,A002020,ฤฺฟภที,20210811,30500
2,A002020,ฤฺฟภที,20210810,30700
3,A002020,ฤฺฟภที,20210809,31450
4,A002020,ฤฺฟภที,20210806,31850
5,A002020,ฤฺฟภที,20210805,31750
6,A002020,ฤฺฟภที,20210804,31500
7,A002020,ฤฺฟภที,20210803,31450
8,A002020,ฤฺฟภที,20210802,30650
9,A002020,ฤฺฟภที,20210730,30550
10,A002020,ฤฺฟภที,20210729,30850
11,A002020,ฤฺฟภที,20210728,30650
12,A002020,ฤฺฟภที,20210727,30950
13,A002020,ฤฺฟภที,20210726,30900
14,A002020,ฤฺฟภที,20210723,30950
15,A002020,ฤฺฟภที,20210722,31150
16,A002020,ฤฺฟภที,20210721,30650
17,A002020,ฤฺฟภที,20210720,30650
18,A002020,ฤฺฟภที,20210719,30950
19,A002020,ฤฺฟภที,20210716,31300
20,A002020,ฤฺฟภที,20210715,31700
21,A002020,ฤฺฟภที,20210714,31800
22,A002020,ฤฺฟภที,20210713,31450
23,A002020,ฤฺฟภที,20210712,31200
24,A002020,ฤฺฟภที,20210709,30450
25,A002020,ฤฺฟภที,20210708,31700
26,A002020,ฤฺฟภที,20210707,32200
27,A002020,ฤฺฟภที,20210706,32850
28,A002020,ฤฺฟภที,20210705,32550
29,A002020,ฤฺฟภที,20210702,33300
30,A002020,ฤฺฟภที,20210701,33700
31,A002020,ฤฺฟภที,20210630,34400
32,A002020,ฤฺฟภที,20210629,34200
33,A002020,ฤฺฟภที,20210628,34250
34,A002020,ฤฺฟภที,20210625,33200
35,A002020,ฤฺฟภที,20210624,33300
36,A002020,ฤฺฟภที,20210623,32350
37,A002020,ฤฺฟภที,20210622,33300
38,A002020,ฤฺฟภที,20210621,31450
39,A002020,ฤฺฟภที,20210618,32000
40,A002020,ฤฺฟภที,20210617,31850
41,A002020,ฤฺฟภที,20210616,32300
42,A002020,ฤฺฟภที,20210615,30600
43,A002020,ฤฺฟภที,20210614,30600
44,A002020,ฤฺฟภที,20210611,30750
45,A002020,ฤฺฟภที,20210610,30700
46,A002020,ฤฺฟภที,20210609,30650
47,A002020,ฤฺฟภที,20210608,30700
48,A002020,ฤฺฟภที,20210607,30900
49,A002020,ฤฺฟภที,20210604,31050
50,A002020,ฤฺฟภที,20210603,31400
51,A002020,ฤฺฟภที,20210602,31100
52,A002020,ฤฺฟภที,20210601,30850
53,A002020,ฤฺฟภที,20210531,30850
54,A002020,ฤฺฟภที,20210528,30000
55,A002020,ฤฺฟภที,20210527,29800
56,A002020,ฤฺฟภที,20210526,30300
57,A002020,ฤฺฟภที,20210525,30150
58,A002020,ฤฺฟภที,20210524,30150
