,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A226320,ภีร๗วับา,20210812,24700
1,A226320,ภีร๗วับา,20210811,24500
2,A226320,ภีร๗วับา,20210810,24900
3,A226320,ภีร๗วับา,20210809,24900
4,A226320,ภีร๗วับา,20210806,25550
5,A226320,ภีร๗วับา,20210805,25350
6,A226320,ภีร๗วับา,20210804,24650
7,A226320,ภีร๗วับา,20210803,24400
8,A226320,ภีร๗วับา,20210802,24850
9,A226320,ภีร๗วับา,20210730,24850
10,A226320,ภีร๗วับา,20210729,25150
11,A226320,ภีร๗วับา,20210728,25200
12,A226320,ภีร๗วับา,20210727,25450
13,A226320,ภีร๗วับา,20210726,25200
14,A226320,ภีร๗วับา,20210723,25750
15,A226320,ภีร๗วับา,20210722,25900
16,A226320,ภีร๗วับา,20210721,25450
17,A226320,ภีร๗วับา,20210720,25300
18,A226320,ภีร๗วับา,20210719,25550
19,A226320,ภีร๗วับา,20210716,25850
20,A226320,ภีร๗วับา,20210715,25700
21,A226320,ภีร๗วับา,20210714,25600
22,A226320,ภีร๗วับา,20210713,25700
23,A226320,ภีร๗วับา,20210712,25800
24,A226320,ภีร๗วับา,20210709,25450
25,A226320,ภีร๗วับา,20210708,25950
26,A226320,ภีร๗วับา,20210707,26750
27,A226320,ภีร๗วับา,20210706,27200
28,A226320,ภีร๗วับา,20210705,27050
29,A226320,ภีร๗วับา,20210702,26900
30,A226320,ภีร๗วับา,20210701,27100
31,A226320,ภีร๗วับา,20210630,27650
32,A226320,ภีร๗วับา,20210629,27400
33,A226320,ภีร๗วับา,20210628,27300
34,A226320,ภีร๗วับา,20210625,27550
35,A226320,ภีร๗วับา,20210624,27450
36,A226320,ภีร๗วับา,20210623,27850
37,A226320,ภีร๗วับา,20210622,28450
38,A226320,ภีร๗วับา,20210621,28300
39,A226320,ภีร๗วับา,20210618,29700
40,A226320,ภีร๗วับา,20210617,30100
41,A226320,ภีร๗วับา,20210616,30150
42,A226320,ภีร๗วับา,20210615,30000
43,A226320,ภีร๗วับา,20210614,29850
44,A226320,ภีร๗วับา,20210611,29500
45,A226320,ภีร๗วับา,20210610,29650
46,A226320,ภีร๗วับา,20210609,29450
47,A226320,ภีร๗วับา,20210608,29750
48,A226320,ภีร๗วับา,20210607,29700
49,A226320,ภีร๗วับา,20210604,29600
50,A226320,ภีร๗วับา,20210603,30200
51,A226320,ภีร๗วับา,20210602,30650
52,A226320,ภีร๗วับา,20210601,29600
53,A226320,ภีร๗วับา,20210531,29800
54,A226320,ภีร๗วับา,20210528,28350
55,A226320,ภีร๗วับา,20210527,28250
56,A226320,ภีร๗วับา,20210526,28200
