,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A023160,еб╠╓,20210812,12650
1,A023160,еб╠╓,20210811,12750
2,A023160,еб╠╓,20210810,12450
3,A023160,еб╠╓,20210809,12900
4,A023160,еб╠╓,20210806,12750
5,A023160,еб╠╓,20210805,12500
6,A023160,еб╠╓,20210804,12450
7,A023160,еб╠╓,20210803,12200
8,A023160,еб╠╓,20210802,12450
9,A023160,еб╠╓,20210730,12550
10,A023160,еб╠╓,20210729,12850
11,A023160,еб╠╓,20210728,12750
12,A023160,еб╠╓,20210727,12850
13,A023160,еб╠╓,20210726,13000
14,A023160,еб╠╓,20210723,12800
15,A023160,еб╠╓,20210722,12750
16,A023160,еб╠╓,20210721,12750
17,A023160,еб╠╓,20210720,13250
18,A023160,еб╠╓,20210719,13100
19,A023160,еб╠╓,20210716,12950
20,A023160,еб╠╓,20210715,12550
21,A023160,еб╠╓,20210714,12500
22,A023160,еб╠╓,20210713,12150
23,A023160,еб╠╓,20210712,11800
24,A023160,еб╠╓,20210709,11150
25,A023160,еб╠╓,20210708,11300
26,A023160,еб╠╓,20210707,11800
27,A023160,еб╠╓,20210706,11950
28,A023160,еб╠╓,20210705,11550
29,A023160,еб╠╓,20210702,11600
30,A023160,еб╠╓,20210701,11150
31,A023160,еб╠╓,20210630,11100
32,A023160,еб╠╓,20210629,11250
33,A023160,еб╠╓,20210628,10950
34,A023160,еб╠╓,20210625,10850
35,A023160,еб╠╓,20210624,11000
36,A023160,еб╠╓,20210623,10800
37,A023160,еб╠╓,20210622,10500
38,A023160,еб╠╓,20210621,10400
39,A023160,еб╠╓,20210618,10250
40,A023160,еб╠╓,20210617,10500
41,A023160,еб╠╓,20210616,10650
42,A023160,еб╠╓,20210615,10750
43,A023160,еб╠╓,20210614,11050
44,A023160,еб╠╓,20210611,10800
45,A023160,еб╠╓,20210610,10950
46,A023160,еб╠╓,20210609,10800
47,A023160,еб╠╓,20210608,11250
48,A023160,еб╠╓,20210607,11750
49,A023160,еб╠╓,20210604,11700
50,A023160,еб╠╓,20210603,11650
51,A023160,еб╠╓,20210602,11600
52,A023160,еб╠╓,20210601,11150
53,A023160,еб╠╓,20210531,10800
54,A023160,еб╠╓,20210528,10900
55,A023160,еб╠╓,20210527,10400
56,A023160,еб╠╓,20210526,10550
57,A023160,еб╠╓,20210525,10650
58,A023160,еб╠╓,20210524,10600
59,A023160,еб╠╓,20210521,10700
60,A023160,еб╠╓,20210520,11550
61,A023160,еб╠╓,20210518,11750
62,A023160,еб╠╓,20210517,11150
63,A023160,еб╠╓,20210514,11400
64,A023160,еб╠╓,20210513,11400
65,A023160,еб╠╓,20210512,12050
66,A023160,еб╠╓,20210511,12700
67,A023160,еб╠╓,20210510,12550
68,A023160,еб╠╓,20210507,12350
69,A023160,еб╠╓,20210506,12000
70,A023160,еб╠╓,20210504,11150
71,A023160,еб╠╓,20210503,11000
72,A023160,еб╠╓,20210430,10950
73,A023160,еб╠╓,20210429,10950
74,A023160,еб╠╓,20210428,10650
75,A023160,еб╠╓,20210427,11000
76,A023160,еб╠╓,20210426,10700
77,A023160,еб╠╓,20210423,9640
78,A023160,еб╠╓,20210422,9620
79,A023160,еб╠╓,20210421,9710
80,A023160,еб╠╓,20210420,10100
81,A023160,еб╠╓,20210419,10200
82,A023160,еб╠╓,20210416,10150
83,A023160,еб╠╓,20210415,10100
84,A023160,еб╠╓,20210414,10000
85,A023160,еб╠╓,20210413,9680
86,A023160,еб╠╓,20210412,9610
87,A023160,еб╠╓,20210409,9380
88,A023160,еб╠╓,20210408,9580
89,A023160,еб╠╓,20210407,8920
90,A023160,еб╠╓,20210406,8480
91,A023160,еб╠╓,20210405,8640
92,A023160,еб╠╓,20210402,8600
93,A023160,еб╠╓,20210401,8620
94,A023160,еб╠╓,20210331,8800
95,A023160,еб╠╓,20210330,8230
96,A023160,еб╠╓,20210329,8220
97,A023160,еб╠╓,20210326,7740
98,A023160,еб╠╓,20210325,7540
99,A023160,еб╠╓,20210324,7530
100,A023160,еб╠╓,20210323,7510
101,A023160,еб╠╓,20210322,7830
102,A023160,еб╠╓,20210319,7970
103,A023160,еб╠╓,20210318,8000
104,A023160,еб╠╓,20210317,7990
105,A023160,еб╠╓,20210316,7800
106,A023160,еб╠╓,20210315,7750
107,A023160,еб╠╓,20210312,7680
108,A023160,еб╠╓,20210311,7660
109,A023160,еб╠╓,20210310,7540
110,A023160,еб╠╓,20210309,7740
111,A023160,еб╠╓,20210308,7640
112,A023160,еб╠╓,20210305,7830
113,A023160,еб╠╓,20210304,7580
114,A023160,еб╠╓,20210303,7510
115,A023160,еб╠╓,20210302,7310
116,A023160,еб╠╓,20210226,7360
117,A023160,еб╠╓,20210225,7520
118,A023160,еб╠╓,20210224,7310
119,A023160,еб╠╓,20210223,7520
120,A023160,еб╠╓,20210222,7510
121,A023160,еб╠╓,20210219,7370
122,A023160,еб╠╓,20210218,7350
123,A023160,еб╠╓,20210217,7350
124,A023160,еб╠╓,20210216,7400
125,A023160,еб╠╓,20210215,7330
126,A023160,еб╠╓,20210210,7240
127,A023160,еб╠╓,20210209,7230
128,A023160,еб╠╓,20210208,7350
129,A023160,еб╠╓,20210205,7160
130,A023160,еб╠╓,20210204,7210
131,A023160,еб╠╓,20210203,7150
132,A023160,еб╠╓,20210202,7120
133,A023160,еб╠╓,20210201,7070
134,A023160,еб╠╓,20210129,7000
135,A023160,еб╠╓,20210128,7260
136,A023160,еб╠╓,20210127,7450
137,A023160,еб╠╓,20210126,7260
138,A023160,еб╠╓,20210125,7410
139,A023160,еб╠╓,20210122,7360
