,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
185,A013090,юндл,20201116,1720
186,A013090,юндл,20201113,1800
187,A013090,юндл,20201112,1735
188,A013090,юндл,20201111,1800
189,A013090,юндл,20201110,1555
190,A013090,юндл,20201109,1445
191,A013090,юндл,20201106,1795
192,A013090,юндл,20201105,1825
193,A013090,юндл,20201104,1845
194,A013090,юндл,20201103,1845
195,A013090,юндл,20201102,1860
196,A013090,юндл,20201030,1860
197,A013090,юндл,20201029,1505
198,A013090,юндл,20201028,1555
199,A013090,юндл,20201027,1865
200,A013090,юндл,20201026,1790
201,A013090,юндл,20201023,1765
202,A013090,юндл,20201022,1360
203,A013090,юндл,20201021,1870
204,A013090,юндл,20201020,1850
205,A013090,юндл,20201019,1840
206,A013090,юндл,20201016,1850
207,A013090,юндл,20201015,1850
208,A013090,юндл,20201014,1875
209,A013090,юндл,20201013,1755
210,A013090,юндл,20201012,1755
211,A013090,юндл,20201008,1755
212,A013090,юндл,20201007,1835
213,A013090,юндл,20201006,1840
214,A013090,юндл,20201005,1850
215,A013090,юндл,20200929,1905
216,A013090,юндл,20200928,1945
217,A013090,юндл,20200925,1960
218,A013090,юндл,20200924,1790
219,A013090,юндл,20200923,1875
220,A013090,юндл,20200922,1710
221,A013090,юндл,20200921,1720
222,A013090,юндл,20200918,1830
223,A013090,юндл,20200917,1780
224,A013090,юндл,20200916,1820
225,A013090,юндл,20200915,1890
226,A013090,юндл,20200914,1805
227,A013090,юндл,20200911,1840
228,A013090,юндл,20200910,1860
229,A013090,юндл,20200909,1875
230,A013090,юндл,20200908,1900
231,A013090,юндл,20200907,1755
232,A013090,юндл,20200904,1915
233,A013090,юндл,20200903,1960
234,A013090,юндл,20200902,1955
235,A013090,юндл,20200901,1735
236,A013090,юндл,20200831,1715
237,A013090,юндл,20200828,2190
238,A013090,юндл,20200827,2245
239,A013090,юндл,20200826,1940
240,A013090,юндл,20200825,1945
241,A013090,юндл,20200824,1830
242,A013090,юндл,20200821,1830
243,A013090,юндл,20200820,2070
244,A013090,юндл,20200819,2270
245,A013090,юндл,20200818,1685
246,A013090,юндл,20200814,2385
247,A013090,юндл,20200813,2050
248,A013090,юндл,20200812,2235
249,A013090,юндл,20200811,1720
250,A013090,юндл,20200810,1920
251,A013090,юндл,20200807,1965
252,A013090,юндл,20200806,2195
253,A013090,юндл,20200805,1790
254,A013090,юндл,20200804,1600
255,A013090,юндл,20200803,1695
256,A013090,юндл,20200731,2280
257,A013090,юндл,20200730,1990
258,A013090,юндл,20200729,1650
259,A013090,юндл,20200728,2375
260,A013090,юндл,20200727,2325
261,A013090,юндл,20200724,1555
262,A013090,юндл,20200723,2345
263,A013090,юндл,20200722,1885
264,A013090,юндл,20200721,1580
265,A013090,юндл,20200720,1220
266,A013090,юндл,20200717,1570
267,A013090,юндл,20200716,1445
268,A013090,юндл,20200715,1130
269,A013090,юндл,20200714,871
270,A013090,юндл,20200713,670
271,A013090,юндл,20200710,897
272,A013090,юндл,20200709,1110
273,A013090,юндл,20200708,1170
274,A013090,юндл,20200707,1220
275,A013090,юндл,20200706,1680
276,A013090,юндл,20200703,1595
277,A013090,юндл,20200702,1875
278,A013090,юндл,20200701,1885
279,A013090,юндл,20200630,1740
280,A013090,юндл,20200629,1345
281,A013090,юндл,20200626,1890
282,A013090,юндл,20200625,1890
283,A013090,юндл,20200624,1990
284,A013090,юндл,20200623,1990
285,A013090,юндл,20200622,1700
286,A013090,юндл,20200619,1700
287,A013090,юндл,20200618,1700
288,A013090,юндл,20200617,1700
289,A013090,юндл,20200616,1695
290,A013090,юндл,20200615,1550
291,A013090,юндл,20200612,1550
292,A013090,юндл,20200611,1635
293,A013090,юндл,20200610,1770
294,A013090,юндл,20200609,1780
295,A013090,юндл,20200608,1940
296,A013090,юндл,20200605,1760
297,A013090,юндл,20200604,1750
298,A013090,юндл,20200603,1895
299,A013090,юндл,20200602,1980
300,A013090,юндл,20200601,1995
301,A013090,юндл,20200529,1885
302,A013090,юндл,20200528,1960
303,A013090,юндл,20200527,1860
304,A013090,юндл,20200526,1880
305,A013090,юндл,20200525,1895
306,A013090,юндл,20200522,1890
307,A013090,юндл,20200521,1890
308,A013090,юндл,20200520,1800
309,A013090,юндл,20200519,1870
310,A013090,юндл,20200518,1950
311,A013090,юндл,20200515,1870
312,A013090,юндл,20200514,1730
313,A013090,юндл,20200513,1700
314,A013090,юндл,20200512,1895
315,A013090,юндл,20200511,1880
316,A013090,юндл,20200508,1990
317,A013090,юндл,20200507,1930
318,A013090,юндл,20200506,1965
319,A013090,юндл,20200504,2080
320,A013090,юндл,20200429,2190
321,A013090,юндл,20200428,1995
322,A013090,юндл,20200427,2100
323,A013090,юндл,20200424,1685
324,A013090,юндл,20200423,1890
325,A013090,юндл,20200422,1980
326,A013090,юндл,20200421,2050
327,A013090,юндл,20200420,2100
328,A013090,юндл,20200417,2185
329,A013090,юндл,20200416,2190
330,A013090,юндл,20200414,2220
331,A013090,юндл,20200413,1740
332,A013090,юндл,20200410,2485
333,A013090,юндл,20200409,2485
334,A013090,юндл,20200408,2490
335,A013090,юндл,20200407,2090
336,A013090,юндл,20200406,2090
337,A013090,юндл,20200403,1950
338,A013090,юндл,20200402,2510
339,A013090,юндл,20200401,2190
340,A013090,юндл,20200331,1900
341,A013090,юндл,20200330,1740
342,A013090,юндл,20200327,1765
343,A013090,юндл,20200326,1660
344,A013090,юндл,20200325,1690
345,A013090,юндл,20200324,1415
346,A013090,юндл,20200323,1590
347,A013090,юндл,20200320,1645
348,A013090,юндл,20200319,1420
349,A013090,юндл,20200318,1880
350,A013090,юндл,20200317,1880
351,A013090,юндл,20200316,1880
352,A013090,юндл,20200313,1880
353,A013090,юндл,20200312,1550
354,A013090,юндл,20200311,2085
355,A013090,юндл,20200310,2150
356,A013090,юндл,20200309,2200
357,A013090,юндл,20200306,2140
358,A013090,юндл,20200305,2140
359,A013090,юндл,20200304,2140
360,A013090,юндл,20200303,2140
361,A013090,юндл,20200302,2140
362,A013090,юндл,20200228,1905
363,A013090,юндл,20200227,1670
364,A013090,юндл,20200226,1880
