,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,มพฐก
0,A066110,วัวม,20210812,1130
1,A066110,วัวม,20210811,1130
2,A066110,วัวม,20210810,1130
3,A066110,วัวม,20210809,1130
4,A066110,วัวม,20210806,1130
5,A066110,วัวม,20210805,1130
6,A066110,วัวม,20210804,1130
7,A066110,วัวม,20210803,1130
8,A066110,วัวม,20210802,1130
9,A066110,วัวม,20210730,1130
10,A066110,วัวม,20210729,1130
11,A066110,วัวม,20210728,1130
12,A066110,วัวม,20210727,1130
13,A066110,วัวม,20210726,1130
14,A066110,วัวม,20210723,1130
15,A066110,วัวม,20210722,1130
16,A066110,วัวม,20210721,1130
17,A066110,วัวม,20210720,1130
18,A066110,วัวม,20210719,1130
19,A066110,วัวม,20210716,1130
20,A066110,วัวม,20210715,1130
21,A066110,วัวม,20210714,1130
22,A066110,วัวม,20210713,1130
23,A066110,วัวม,20210712,1130
24,A066110,วัวม,20210709,1130
25,A066110,วัวม,20210708,1130
26,A066110,วัวม,20210707,1130
27,A066110,วัวม,20210706,1130
28,A066110,วัวม,20210705,1130
29,A066110,วัวม,20210702,1130
30,A066110,วัวม,20210701,1130
31,A066110,วัวม,20210630,1130
32,A066110,วัวม,20210629,1130
33,A066110,วัวม,20210628,1130
34,A066110,วัวม,20210625,1130
35,A066110,วัวม,20210624,1130
36,A066110,วัวม,20210623,1130
37,A066110,วัวม,20210622,1130
38,A066110,วัวม,20210621,1130
39,A066110,วัวม,20210618,1130
40,A066110,วัวม,20210617,1130
41,A066110,วัวม,20210616,1130
42,A066110,วัวม,20210615,1130
43,A066110,วัวม,20210614,1130
44,A066110,วัวม,20210611,1130
45,A066110,วัวม,20210610,1130
46,A066110,วัวม,20210609,1130
47,A066110,วัวม,20210608,1130
48,A066110,วัวม,20210607,1130
49,A066110,วัวม,20210604,1130
50,A066110,วัวม,20210603,1130
51,A066110,วัวม,20210602,1130
52,A066110,วัวม,20210601,1130
53,A066110,วัวม,20210531,1130
54,A066110,วัวม,20210528,1130
55,A066110,วัวม,20210527,1130
56,A066110,วัวม,20210526,1130
57,A066110,วัวม,20210525,1130
58,A066110,วัวม,20210524,1130
59,A066110,วัวม,20210521,1130
60,A066110,วัวม,20210520,1130
61,A066110,วัวม,20210518,1130
62,A066110,วัวม,20210517,480
63,A066110,วัวม,20210514,480
64,A066110,วัวม,20210513,480
65,A066110,วัวม,20210512,480
66,A066110,วัวม,20210511,480
67,A066110,วัวม,20210510,480
68,A066110,วัวม,20210507,480
69,A066110,วัวม,20210506,480
70,A066110,วัวม,20210504,480
71,A066110,วัวม,20210503,480
72,A066110,วัวม,20210430,480
73,A066110,วัวม,20210429,480
74,A066110,วัวม,20210428,480
75,A066110,วัวม,20210427,480
76,A066110,วัวม,20210426,480
77,A066110,วัวม,20210423,480
78,A066110,วัวม,20210422,480
79,A066110,วัวม,20210421,480
80,A066110,วัวม,20210420,480
81,A066110,วัวม,20210419,480
82,A066110,วัวม,20210416,480
83,A066110,วัวม,20210415,480
84,A066110,วัวม,20210414,480
85,A066110,วัวม,20210413,480
86,A066110,วัวม,20210412,480
87,A066110,วัวม,20210409,480
88,A066110,วัวม,20210408,480
89,A066110,วัวม,20210407,480
90,A066110,วัวม,20210406,480
91,A066110,วัวม,20210405,480
92,A066110,วัวม,20210402,480
93,A066110,วัวม,20210401,480
94,A066110,วัวม,20210331,480
95,A066110,วัวม,20210330,480
96,A066110,วัวม,20210329,480
