,종목코드,종목명,날짜,종가,수정여부
0,A042040,케이피엠테크,20210812,3105,비수정
1,A042040,케이피엠테크,20210811,3105,비수정
2,A042040,케이피엠테크,20210810,3235,비수정
3,A042040,케이피엠테크,20210809,3190,비수정
4,A042040,케이피엠테크,20210806,3350,비수정
5,A042040,케이피엠테크,20210805,3345,비수정
6,A042040,케이피엠테크,20210804,3265,비수정
7,A042040,케이피엠테크,20210803,3170,비수정
8,A042040,케이피엠테크,20210802,3095,비수정
9,A042040,케이피엠테크,20210730,3010,비수정
10,A042040,케이피엠테크,20210729,3180,비수정
11,A042040,케이피엠테크,20210728,3225,비수정
12,A042040,케이피엠테크,20210727,3120,비수정
13,A042040,케이피엠테크,20210726,3165,비수정
14,A042040,케이피엠테크,20210723,3290,비수정
15,A042040,케이피엠테크,20210722,3330,비수정
16,A042040,케이피엠테크,20210721,3325,비수정
17,A042040,케이피엠테크,20210720,3440,비수정
18,A042040,케이피엠테크,20210719,3210,비수정
19,A042040,케이피엠테크,20210716,3260,비수정
20,A042040,케이피엠테크,20210715,3125,비수정
21,A042040,케이피엠테크,20210714,3195,비수정
22,A042040,케이피엠테크,20210713,3160,비수정
23,A042040,케이피엠테크,20210712,3280,비수정
24,A042040,케이피엠테크,20210709,3250,비수정
25,A042040,케이피엠테크,20210708,2990,비수정
26,A042040,케이피엠테크,20210707,3000,비수정
27,A042040,케이피엠테크,20210706,3005,비수정
28,A042040,케이피엠테크,20210705,3015,비수정
29,A042040,케이피엠테크,20210702,3040,비수정
30,A042040,케이피엠테크,20210701,2990,비수정
31,A042040,케이피엠테크,20210630,2980,비수정
32,A042040,케이피엠테크,20210629,2940,비수정
33,A042040,케이피엠테크,20210628,2995,비수정
34,A042040,케이피엠테크,20210625,2995,비수정
35,A042040,케이피엠테크,20210624,2985,비수정
36,A042040,케이피엠테크,20210623,3040,비수정
37,A042040,케이피엠테크,20210622,2925,비수정
38,A042040,케이피엠테크,20210621,2955,비수정
39,A042040,케이피엠테크,20210618,2930,비수정
40,A042040,케이피엠테크,20210617,2900,비수정
41,A042040,케이피엠테크,20210616,2925,비수정
42,A042040,케이피엠테크,20210615,2920,비수정
43,A042040,케이피엠테크,20210614,2965,비수정
44,A042040,케이피엠테크,20210611,2905,비수정
45,A042040,케이피엠테크,20210610,2930,비수정
46,A042040,케이피엠테크,20210609,2930,비수정
47,A042040,케이피엠테크,20210608,3010,비수정
48,A042040,케이피엠테크,20210607,2995,비수정
49,A042040,케이피엠테크,20210604,3030,비수정
50,A042040,케이피엠테크,20210603,3070,비수정
51,A042040,케이피엠테크,20210602,3070,비수정
52,A042040,케이피엠테크,20210601,3055,비수정
53,A042040,케이피엠테크,20210531,3110,비수정
54,A042040,케이피엠테크,20210528,3270,비수정
55,A042040,케이피엠테크,20210527,3235,비수정
56,A042040,케이피엠테크,20210526,3155,비수정
57,A042040,케이피엠테크,20210525,3145,비수정
58,A042040,케이피엠테크,20210524,3145,비수정
59,A042040,케이피엠테크,20210521,3290,비수정
60,A042040,케이피엠테크,20210520,3115,비수정
61,A042040,케이피엠테크,20210518,3135,비수정
62,A042040,케이피엠테크,20210517,3045,비수정
63,A042040,케이피엠테크,20210514,3130,비수정
64,A042040,케이피엠테크,20210513,2860,비수정
65,A042040,케이피엠테크,20210512,2910,비수정
66,A042040,케이피엠테크,20210511,2940,비수정
67,A042040,케이피엠테크,20210510,3000,비수정
68,A042040,케이피엠테크,20210507,2935,비수정
69,A042040,케이피엠테크,20210506,2960,비수정
70,A042040,케이피엠테크,20210504,2800,비수정
71,A042040,케이피엠테크,20210503,2925,비수정
